code;locale;name;descr
EUR;en;Euro;European Euro
USD;en;US-Dollar;United States Dollar
CAD;en;Canadian Dollar;Canadian Dollar
AUD;en;Australian Dollar;Australian Dollar
GBP;en;Pound;British Pound
ILS;en;Shekel;Israeli Shekel
JPY;en;Yen;Japanese Yen
EUR;de;Euro;European Euro
USD;de;US-Dollar;United States Dollar
CAD;de;Kanadischer Dollar;Kanadischer Dollar
AUD;de;Australischer Dollar;Australischer Dollar
GBP;de;Pfund;Britische Pfund
ILS;de;Schekel;Israelische Schekel
JPY;de;Yen;Japanische Yen
EUR;fr;euro;de la Zone euro
USD;fr;dollar;dollar des États-Unis
CAD;fr;dollar canadien;dollar canadien
AUD;fr;dollar australien;dollar australien
GBP;fr;livre sterling;pound sterling
ILS;fr;Shekel;shekel israelien
JPY;fr;Yen;Yen japonais
